longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,class
-111.11,17.88,41,880,119,111,116,8.1151,451600,0
-111.11,17.86,11,7099,1106,1401,1118,8.1014,158500,0
-111.14,17.85,51,1467,190,496,177,7.1574,151100,0
-111.15,17.85,51,1174,115,558,119,5.6411,141100,0
-111.15,17.85,51,1617,180,565,159,1.8461,141100,0
-111.15,17.85,51,919,111,411,191,4.0168,169700,0
-111.15,17.84,51,1515,489,1094,514,1.6591,199100,0
-111.15,17.84,51,1104,687,1157,647,1.11,141400,0
-111.16,17.84,41,1555,665,1106,595,1.0804,116700,0
-111.15,17.84,51,1549,707,1551,714,1.6911,161100,0
-111.16,17.85,51,1101,414,910,401,1.1011,181500,0
-111.16,17.85,51,1501,751,1504,714,1.1705,141800,0
-111.16,17.85,51,1491,474,1098,468,1.075,111500,0
-111.16,17.84,51,696,191,145,174,1.6716,191100,0
-111.16,17.85,51,1641,616,1111,610,1.9167,159100,0
-111.16,17.85,50,1110,181,697,164,1.115,140000,0
-111.17,17.85,51,1966,147,791,111,1.775,151500,0
-111.17,17.85,51,1118,191,648,101,1.1101,155500,0
-111.16,17.84,50,1119,455,990,419,1.9911,158700,0
-111.17,17.84,51,1501,198,690,175,1.6011,161900,0
-111.17,17.85,40,751,184,409,166,1.1578,147500,0
-111.17,17.85,41,1619,167,919,166,1.7115,159800,0
-111.17,17.84,51,1416,541,1015,478,1.715,111900,0
-111.17,17.84,51,1688,117,851,115,1.1806,99700,0
-111.17,17.84,51,1114,417,1006,411,1.6,111600,0
-111.18,17.85,41,515,111,117,119,1.4018,107500,0
-111.18,17.85,49,1110,144,607,119,1.4597,91800,0
-111.18,17.85,51,1898,411,1101,197,1.808,105500,0
-111.18,17.84,50,1081,491,1111,471,1.6414,108900,0
-111.18,17.84,51,719,160,195,155,1.6875,111000,0
-111.18,17.84,49,1916,447,861,178,1.9174,111100,0
-111.18,17.84,51,1151,481,1168,441,1.9615,115100,0
-111.17,17.84,48,1911,409,1016,115,1.7969,110400,0
-111.17,17.81,49,1655,166,754,119,1.175,104900,0
-111.17,17.81,51,1665,574,1158,516,1.7101,109700,0
-111.17,17.81,49,1115,181,570,164,1.4861,97100,0
-111.17,17.81,48,1798,411,987,174,1.0971,104500,0
-111.18,17.81,51,1511,190,901,401,1.4101,101900,0
-111.16,17.81,51,1470,110,689,109,1.48,191400,0
-111.16,17.81,51,1411,715,1177,696,1.5898,176000,0
-111.16,17.81,51,1665,419,946,195,1.0978,155400,0
-111.16,17.81,51,916,111,517,149,1.1851,150000,0
-111.16,17.84,49,711,101,461,189,1.015,118800,0
-111.16,17.84,51,950,101,467,198,1.9641,188800,0
-111.16,17.81,51,1441,111,660,191,1.0115,184400,0
-111.16,17.81,51,1656,410,718,181,1.6768,181100,0
-111.16,17.81,50,1115,111,616,104,1.016,141500,0
-111.17,17.81,41,1007,111,558,151,1.7148,117500,0
-111.16,17.81,40,614,195,411,160,0.9506,187500,0
-111.17,17.81,40,946,175,700,151,1.775,111500,0
-111.17,17.81,11,896,451,715,418,0.9118,171900,0
-111.17,17.81,41,1868,456,1061,407,1.5045,91800,0
-111.17,17.81,41,1111,851,1959,710,1.1108,97500,0
-111.17,17.81,51,1610,456,1161,400,1.1475,104100,0
-111.18,17.81,51,1170,115,701,111,1.6098,87500,0
-111.18,17.81,51,945,141,576,110,1.4111,81100,0
-111.18,17.81,51,1118,188,611,159,1.5057,87500,0
-111.18,17.81,51,1489,115,718,144,0.8171,85100,0
-111.18,17.81,51,1187,141,1074,104,1.1171,80100,0
-111.19,17.81,1,158,41,94,57,1.5615,60000,0
-111.19,17.81,51,1111,111,554,187,1.1919,75700,0
-111.19,17.81,49,115,19,86,11,6.1181,75000,0
-111.19,17.81,50,760,190,177,111,0.9011,86100,0
-111.1,17.81,51,1114,117,511,159,1.191,76100,0
-111.1,17.81,48,818,181,191,111,1.5918,71500,0
-111.1,17.81,51,1010,109,604,187,1.1667,78400,0
-111.1,17.81,48,1455,154,788,111,0.8056,84400,0
-111.19,17.8,51,1017,144,491,147,1.6094,81100,0
-111.1,17.81,51,571,109,174,81,1.8516,85000,0
-111.19,17.81,46,1801,644,1811,611,0.9801,119100,0
-111.19,17.81,16,768,151,191,117,1.7719,81500,0
-111.19,17.81,46,915,197,581,177,0.7186,95100,0
-111.19,17.81,49,844,104,560,151,1.75,75000,0
-111.19,17.81,46,11,4,18,7,0.4999,67500,0
-111.19,17.81,10,815,161,190,111,1.481,117500,0
-111.18,17.81,17,1117,461,761,419,0.9141,177500,0
-111.18,17.81,16,1914,561,1116,509,1.4464,101100,0
-111.18,17.81,19,1107,141,711,107,1.1111,108100,0
-111.19,17.81,11,1745,174,1054,115,0.8016,111500,0
-111.18,17.8,18,684,176,144,155,1.0114,111100,0
-111.18,17.81,17,914,189,609,189,1.5,161500,0
-111.17,17.81,51,110,56,181,56,1.1667,111500,0
-111.18,17.81,51,140,97,100,87,1.5108,111500,0
-111.18,17.81,51,186,164,146,155,0.8075,117500,0
-111.18,17.81,15,948,184,467,169,1.8088,118800,0
-111.18,17.81,51,771,141,177,115,1.4081,98100,0
-111.17,17.81,40,880,451,581,180,0.977,118800,0
-111.17,17.81,10,875,148,546,110,0.76,161500,0
-111.17,17.8,10,105,41,115,19,0.9711,117500,0
-111.17,17.8,51,149,78,196,85,1.1414,500001,0
-111.17,17.8,16,994,191,800,161,1.0918,161500,0
-111.18,17.8,51,115,87,904,88,0.8668,117500,0
-111.18,17.8,51,96,11,191,14,0.75,161500,0
-111.17,17.79,17,1055,147,718,101,1.6154,187500,0
-111.17,17.8,19,1715,611,1117,467,1.8477,179100,0
-111.16,17.8,16,5119,1477,1469,1111,1.0096,110000,0
-111.16,17.81,11,4596,1111,1048,1180,1.8145,181800,0
-111.16,17.81,19,115,107,101,91,1.0061,115000,0
-111.16,17.81,11,1681,1170,1014,1150,1.1185,170000,0
-111.16,17.81,17,1611,1085,1818,980,1.6104,191100,0
-111.15,17.81,19,4656,1414,1104,1150,1.4911,157800,0
-111.15,17.81,18,5806,1601,1561,1497,1.1177,171400,0
-111.15,17.81,19,854,141,189,118,1.115,117500,0
